title,series_type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
Sunny Bunnies,SHOW,2015,TV-Y,3,"animation, family",BY,tt7264084,6.6,95
Robozuna,SHOW,2018,,22,animation,GB,tt8454808,6.6,92
Project Marathwada,MOVIE,2016,,110,drama,IN,tt5714802,6.6,88
"El Especial de Alex Fern\\341ndez, el Especial",MOVIE,2017,,52,comedy,MX,tt7520228,6.6,73
Dino Girl Gauko,SHOW,2019,,9,"animation, comedy, family, fantasy, scifi",JP,tt10380814,6.6,71
LEGO Marvel Avengers: Climate Conundrum,SHOW,2020,TV-Y7,22,"action, animation",US,tt13783758,6.6,65
Baby Mamas,MOVIE,2018,,93,"drama, comedy",ZA,tt8686460,6.6,63
The Characters of the Continent,MOVIE,2021,,9,documentation,US,tt16740216,6.6,56
Here and There,MOVIE,2021,,98,"drama, romance",PH,tt14766058,6.6,48
Your Excellency,MOVIE,2019,,120,comedy,NG,tt11489288,6.6,43
Coco y Raulito: Carrusel de ternura,MOVIE,2018,PG-13,56,comedy,MX,tt7607498,6.6,39
The New Adventures of Oggy,SHOW,2021,TV-Y,15,"comedy, family, action, animation",US,tt11194006,6.6,38
